POS,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w
1,Kagiso Rabada,17,17,65,548,30,18.26,8.34,13.13,2,0
2,Jasprit Bumrah,15,15,60,404,27,14.96,6.73,13.33,2,0
3,Trent Boult,15,15,57,457,25,18.28,7.97,13.76,1,0
4,Anrich Nortje,16,16,61,512,22,23.27,8.39,16.63,0,0
5,Yuzvendra Chahal,15,15,57,405,21,19.28,7.08,16.33,0,0
6,Mohammad Shami,14,14,53,460,20,23,8.57,16.1,0,0
7,Jofra Archer,14,14,55,365,20,18.25,6.55,16.7,0,0
8,Rashid Khan,16,16,64,344,20,17.2,5.37,19.2,0,0
9,Varun Chakaravarthy,13,13,52,356,17,20.94,6.84,18.35,0,1
10,T Natarajan,16,16,63,504,16,31.5,8.02,23.56,0,0
11,Rahul Chahar,15,15,53,433,15,28.86,8.16,21.2,0,0
12,Jason Holder,7,7,28,233,14,16.64,8.32,12,0,0
13,Sandeep Sharma,13,13,52,374,14,26.71,7.19,22.28,0,0
14,Marcus Stoinis,17,13,29,283,13,21.76,9.53,13.69,0,0
15,Ravichandran Ashwin,15,15,51,391,13,30.07,7.66,23.53,0,0
16,Sam Curran,14,13,42,344,13,26.46,8.19,19.38,0,0
17,Pat Cummins,14,14,52,409,12,34.08,7.86,26,1,0
18,Ravi Bishnoi,14,14,51,376,12,31.33,7.37,25.5,0,0
19,Deepak Chahar,14,14,52,396,12,33,7.61,26,0,0
20,Mohammed Siraj,9,9,27,236,11,21.45,8.68,14.81,0,0
21,James Pattinson,10,10,35,320,11,29.09,9.01,19.36,0,0
22,Chris Morris,9,9,31,210,11,19.09,6.63,17.27,1,0
23,Shreyas Gopal,14,14,50,427,10,42.7,8.54,30,0,0
24,Murugan Ashwin,9,9,31,235,10,23.5,7.46,18.9,0,0
25,Shardul Thakur,9,9,32,275,10,27.5,8.5,19.4,0,0
26,Rahul Tewatia,14,14,46,326,10,32.6,7.08,27.6,0,0
27,Lungi Ngidi,4,4,16,167,9,18.55,10.43,10.66,0,0
28,Kartik Tyagi,10,10,38,367,9,40.77,9.61,25.44,0,0
29,Arshdeep Singh,8,8,25,218,9,24.22,8.77,16.55,0,0
30,Axar Patel,15,15,51,327,9,36.33,6.41,34,0,0
31,Shivam Mavi,8,8,26,212,9,23.55,8.15,17.33,0,0
32,Chris Jordan,9,9,31,304,9,33.77,9.65,21,0,0
33,Khaleel Ahmed,7,7,25,242,8,30.25,9.42,19.25,0,0
34,Isuru Udana,10,10,29,282,8,35.25,9.72,21.75,0,0
35,Washington Sundar,15,15,50,298,8,37.25,5.96,37.5,0,0
36,Piyush Chawla,7,7,21,191,6,31.83,9.09,21,0,0
37,Navdeep Saini,13,13,45,379,6,63.16,8.29,45.66,0,0
38,Sheldon Cottrell,6,6,20,176,6,29.33,8.8,20,0,0
39,Lockie Ferguson,5,5,20,148,6,24.66,7.46,19.83,0,0
40,Ravindra Jadeja,14,13,36,318,6,53,8.75,36.33,0,0
41,Krunal Pandya,16,16,50,380,6,63.33,7.57,50.16,0,0
42,Dwayne Bravo,6,6,21,180,6,30,8.57,21,0,0
43,Andre Russell,10,7,18,175,6,29.16,9.72,18,0,0
44,Shahbaz Nadeem,7,7,22,178,5,35.6,8.09,26.4,0,0
45,Nathan Coulter-Nile,7,7,26,206,5,41.2,7.92,31.2,0,0
46,Karn Sharma,5,5,19,165,5,33,8.68,22.8,0,0
47,Kamlesh Nagarkoti,10,9,26,231,5,46.2,8.88,31.2,0,0
48,Sunil Narine,10,10,38,302,5,60.4,7.94,45.6,0,0
49,Vijay Shankar,7,5,13,82,4,20.5,6.22,19.75,0,0
50,Shivam Dube,11,5,9,73,4,18.25,8.11,13.5,0,0
51,Kieron Pollard,16,11,21,190,4,47.5,9.04,31.5,0,0
52,Prasidh Krishna,6,6,17,164,4,41,9.37,26.25,0,0
53,Jaydev Unadkat,7,7,23,228,4,57,9.91,34.5,0,0
54,Bhuvneshwar Kumar,4,4,14,99,3,33,6.98,28.33,0,0
55,Glenn Maxwell,13,7,21,169,3,56.33,8.04,42,0,0
56,Harshal Patel,5,5,15,134,3,44.66,8.93,30,0,0
57,Tom Curran,5,5,18,208,3,69.33,11.44,36.33,0,0
58,Tushar Deshpande,5,5,17,192,3,64,11.29,34,0,0
59,Amit Mishra,3,3,10,72,3,24,7.2,20,0,0
60,Ankit Rajpoot,6,6,17,199,2,99.5,11.7,51,0,0
61,Siddarth Kaul,1,1,4,64,2,32,16,12,0,0
62,Ben Stokes,8,6,15,154,2,77,10.26,45,0,0
63,Adam Zampa,3,3,11,92,2,46,8.36,33,0,0
64,Abhishek Sharma,8,6,10,91,2,45.5,9.1,30,0,0
65,Shahbaz Ahmed,2,2,6,44,2,22,7.33,18,0,0
66,Jimmy Neesham,5,5,15,148,2,74,9.86,45,0,0
67,Mitchell Santner,2,2,7,53,2,26.5,7.57,21,0,0
68,Dale Steyn,3,3,11,133,1,133,11.4,70,0,0
69,Basil Thampi,1,1,4,46,1,46,11.5,24,0,0
70,Imran Tahir,3,3,11,76,1,76,6.9,66,0,0
71,Jayant Yadav,2,2,7,43,1,43,6.14,42,0,0
72,Andrew Tye,1,1,4,50,1,50,12.5,24,0,0
73,Josh Hazlewood,3,3,10,64,1,64,6.4,60,0,0
74,Mohit Sharma,1,1,4,45,1,45,11.25,24,0,0
75,Krishnappa Gowtham,2,2,8,84,1,84,10.5,48,0,0
76,Moeen Ali,3,3,5,42,1,42,8.4,30,0,0
77,Kuldeep Yadav,5,4,12,92,1,92,7.66,72,0,0
78,Abdul Samad,12,3,7,96,1,96,13.71,42,0,0
